agent,agent_preference,num_connections,agent_connections,influence_status
65,as uncomfortable as it may be especially with the conditions we work in i d rather adapt wear the mask and survive than contract the virus bc of what s more comfortable,17,"[21, 90, 18, 15, 69, 6, 75, 53, 97, 31, 47, 20, 83, 33, 24, 48, 86]",False
66,another friendly reminder to vaccinate your kids wear a mask don t be racist and don t support d nald tr mp,7,"[12, 55, 67, 77, 30, 24, 83]",False
67,please mask up and maintain social distance people,25,"[25, 6, 8, 66, 48, 49, 30, 14, 69, 78, 100, 74, 88, 93, 34, 11, 95, 99, 33, 56, 26, 19, 54, 36, 94]",False
68,was behind a guy at eleven who was wearing his welders mask he could have just said i forgot it when he didn t have a face mask but instead he put others first you know what you call a person like that a patriot,1,[21],False
69,hr sent out an email saying those of us who s fully vaxxed w proof can go maskless again in the office yea i m good i m still wearing my mask,13,"[77, 89, 74, 40, 44, 82, 43, 79, 93, 52, 84, 73, 15]",False
70,as encouraging as this news is please remember that this new cdc guideline still calls for wearing masks in federal facilities including airports mask wearing vaccinated or not is still required at syr and all u s airports,14,"[69, 66, 68, 84, 60, 7, 4, 3, 79, 48, 24, 15, 96, 59]",False
71,nurse from last week thank you kira remember folks wear a mask wash your hands and stay home trying to pretend there is no problem is not a solution portland oregon,3,"[32, 5, 78]",False
72,my favorite thing to do when i see people not wearing a mask is cough as hard as i can right in front of them because the fear in their eyes is always so rewarding,8,"[43, 64, 48, 47, 57, 98, 13, 39]",False
73,i like the part when he got covid but still had events with people and how he won t enforce a statewide mask mandate oh and the part where he cut education funding wow so great,20,"[27, 43, 6, 48, 95, 21, 88, 76, 13, 40, 19, 38, 80, 83, 68, 24, 17, 84, 51, 57]",False
74,this month i personally know people that have gotten covid one of them past away this week please wear a mask,10,"[73, 46, 56, 15, 5, 41, 1, 27, 84, 70]",False
75,don t go to a party with a house full of ppl not wasting mask during a pandemic,25,"[90, 38, 89, 48, 82, 45, 55, 85, 12, 71, 65, 20, 21, 92, 49, 2, 26, 23, 3, 19, 88, 34, 59, 1, 79]",False
76,continuing to mask up and distance reduces the transmission of the virus and if you do get it the virus won t leave you your immune system will handle it vaccines also reduce pressure on overwhelmed healthcare systems vaccines mean more milder cases if the vaxxed do get it,16,"[86, 38, 52, 75, 12, 51, 17, 54, 6, 15, 14, 47, 98, 46, 71, 77]",False
77,wholeheartedly agree in the last weeks i have had a friend lose his mom to covid and other friend hospitalize with it yesterday i have quit talking to family who insist they don t believe superspreader events happen in churches and people have a right to not wear a mask,15,"[5, 78, 29, 11, 85, 90, 94, 2, 12, 10, 89, 35, 95, 98, 96]",False
78,took my first flight in months for a work trip everyone wore a mask everyone was respectful of other people reminds you not all people suck most but not all,16,"[35, 43, 88, 6, 92, 63, 32, 71, 93, 62, 96, 100, 27, 42, 24, 65]",False
79,as someone who was there this weekend who lives in a conservative county in california the residents of texas where kind respectful and upheld mask ordinance better than mins of being back in california please let s not turn our backs on people who need help,12,"[78, 4, 51, 59, 45, 39, 44, 28, 95, 9, 2, 12]",False
80,thanks ctl stay safe friends and wear mask if need to go out,10,"[24, 71, 10, 62, 83, 99, 64, 97, 40, 15]",False
81,mask protect other people he only cares about himself,15,"[40, 29, 51, 44, 18, 36, 55, 85, 73, 17, 79, 39, 82, 7, 57]",False
82,please help by following the order so we can remain open and safe for everyone whether you agree with the mask or not we need to follow the order and please be kind to the staff if they remind you they are just trying to do their job thank you all for your understanding,15,"[31, 61, 97, 80, 1, 38, 99, 23, 85, 9, 58, 45, 15, 100, 18]",False
83,those who want to protect themselves from getting sick have every right to masks keep you more safe than no mask in tight settings everyone has the right to do whatever they want now at their discretion,28,"[21, 71, 78, 45, 37, 13, 24, 67, 18, 47, 86, 48, 99, 100, 73, 54, 35, 7, 22, 98, 93, 97, 51, 8, 64, 43, 4, 60]",False
84,i was late but i gotta hand it to he s got me wearing my mask everywhere and my area is spiking hard right now just signed up to get me and the wife a drive up test come saturday,21,"[42, 72, 20, 87, 83, 63, 67, 17, 88, 96, 95, 59, 21, 14, 71, 5, 10, 1, 7, 33, 51]",False
85,a special shout out goes to mr londono and ms latorre we loved the teachable moment of mask wearing and addressing covid questions also a very happy birthday to our vebbulldog jamya,25,"[31, 22, 3, 55, 62, 70, 37, 95, 36, 49, 76, 71, 67, 69, 81, 74, 57, 88, 25, 90, 94, 84, 72, 28, 1]",False
86,can we developed a mask or helmet that will protect us from corona and that everyone would have to wear to go outside for a month or that would allow us to open up the economy again,10,"[46, 61, 12, 60, 69, 39, 43, 13, 11, 20]",False
87,i m wearing a mask outside while vaccinated because people like you are in my face why does it bother you to the point that you are asking random people why they are doing something that makes them feel safe,27,"[67, 52, 55, 36, 42, 43, 10, 40, 1, 3, 89, 73, 96, 75, 60, 81, 45, 23, 80, 93, 22, 76, 21, 7, 61, 14, 66]",False
88,please leep your mask on i don t want you to be taken out by a virus that is not gone,4,"[51, 57, 10, 17]",False
89,i don t often have time to shave my face stubble in the morning luckily coronavirus is very accepting of mask culture so actually it s required,9,"[36, 93, 54, 99, 78, 15, 12, 18, 19]",False
90,hey i just saw you are running miles across florida right now curious if you would share what is the route im in orlando and would love to come run with you even if just for a mile i d wear a mask and keep distance,16,"[22, 66, 36, 89, 32, 69, 77, 92, 84, 31, 9, 8, 47, 10, 75, 24]",False
91,open for public play saturdays and sundays pm pm practicing social distancing remember to wear your face mask playpaintball publicplay socialdistancing familytime paintball openforbusiness nvp sports park,30,"[8, 86, 64, 67, 9, 30, 69, 12, 85, 17, 25, 49, 84, 94, 42, 36, 10, 15, 22, 87, 23, 73, 19, 2, 71, 54, 51, 1, 43, 47]",False
92,i m so sorry mark but i don t trust this vaccine i understand your concern for the residents of erie county i obey the mask mandate wash and sterilize my hands when returning home from work and elsewhere,8,"[33, 39, 15, 23, 70, 94, 38, 6]",False
93,excellent exandle of the importance and reliance of everyone in the community to do their part the people that put themselves at risk everyday so you can have food safely produced and delivered to you to eat it s not hard to wear a mask on a run,29,"[18, 7, 36, 4, 38, 49, 30, 8, 44, 53, 6, 81, 39, 100, 17, 58, 28, 43, 64, 76, 68, 92, 48, 16, 33, 12, 11, 5, 15]",False
94,i flew for the first time since march it was mostly fine but some folks wore their masks as chin slings i have glasses and wore my mask over my nose for hours and they didn t fog up i also had plenty of oxygen over the nose people,2,"[64, 30]",False
95,we keep hearing about how most kids quickly recover from covid pretty hard to recover from this wear a mask and if you can get vaccinated,13,"[56, 14, 51, 1, 94, 52, 37, 41, 99, 36, 28, 61, 42]",False
96,please wear a mask and bend over,20,"[76, 80, 52, 71, 51, 18, 43, 55, 58, 1, 19, 57, 60, 83, 24, 10, 95, 4, 66, 12]",False
97,walking out of the grocery store in florida and i m taking my mask off as i just walk out some old lady walking in looks at me and goes thought this was a free country just laughed at her go get your groceries and be quiet lady,9,"[19, 10, 88, 20, 47, 80, 44, 18, 60]",False
98,i like wearing a mask because i can go out in public with a fat lip in and nobody knows,6,"[61, 16, 88, 94, 58, 87]",False
99,huge covid fail to have santa not wearing a mask in thanksgivingdayparade would have been so powerful and such an endorsement of healthcareheroes wearamask,28,"[8, 57, 27, 89, 56, 92, 67, 25, 93, 63, 33, 47, 5, 73, 54, 52, 45, 49, 81, 86, 55, 9, 79, 23, 36, 66, 41, 58]",False
100,really interesting in light of people s resistance to wear a mask both the mask and the shopping cart are measurements of empathy,25,"[17, 36, 22, 78, 34, 37, 64, 46, 75, 86, 77, 72, 74, 73, 54, 91, 87, 3, 44, 56, 71, 1, 70, 68, 61]",False
101,"Wearing masks does not help in stopping the virus, it's useless and I hate it.",30,"[50, 76, 85, 2, 62, 81, 18, 41, 29, 73, 19, 17, 4, 60, 99, 65, 63, 49, 31, 86, 97, 28, 5, 64, 70, 56, 87, 43, 8, 25]",True
