agent,agent_preference,num_connections,agent_connections,influence_status
79,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",18,"[99, 13, 63, 62, 51, 64, 85, 61, 90, 50, 24, 49, 6, 72, 11, 81, 76, 9]",False
80,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them.",24,"[49, 32, 40, 62, 9, 75, 28, 4, 51, 39, 47, 19, 77, 91, 63, 100, 18, 37, 68, 61, 22, 8, 50, 81]",False
81,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,15,"[57, 74, 47, 97, 19, 40, 8, 35, 100, 75, 25, 99, 46, 98, 42]",False
82,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,24,"[76, 17, 34, 1, 31, 85, 54, 86, 63, 33, 66, 65, 9, 19, 52, 12, 18, 87, 83, 10, 96, 41, 100, 37]",False
83,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,21,"[75, 56, 17, 44, 20, 57, 32, 2, 90, 95, 7, 92, 27, 65, 98, 82, 21, 59, 60, 14, 70]",False
84,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,20,"[19, 37, 56, 62, 42, 100, 36, 98, 26, 78, 28, 58, 87, 86, 29, 14, 45, 61, 6, 2]",False
85,I lose a mask at least four times a day. This whole thing is a scam.,14,"[31, 50, 66, 52, 90, 3, 42, 92, 78, 68, 29, 70, 95, 46]",False
86,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",8,"[11, 76, 84, 8, 98, 73, 25, 79]",False
87,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them.",26,"[93, 32, 70, 64, 71, 19, 84, 3, 62, 27, 23, 61, 52, 24, 58, 81, 55, 37, 68, 90, 73, 16, 8, 77, 2, 97]",False
88,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,3,"[82, 49, 33]",False
89,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,6,"[11, 45, 3, 31, 74, 54]",False
90,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,20,"[23, 27, 63, 6, 22, 84, 7, 62, 5, 57, 54, 36, 14, 48, 17, 52, 75, 3, 47, 94]",False
91,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,15,"[30, 65, 2, 42, 35, 77, 31, 39, 70, 32, 9, 83, 10, 86, 66]",False
92,I lose a mask at least four times a day. This whole thing is a scam.,23,"[71, 2, 36, 52, 43, 66, 82, 13, 16, 80, 14, 34, 42, 31, 78, 88, 55, 64, 76, 35, 81, 51, 57]",False
93,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",13,"[89, 46, 82, 26, 23, 9, 30, 31, 59, 61, 77, 7, 28]",False
94,"Trump said it's ok not to wear mask, and Ingraham said it's restricting our rights to keep us locked inside! You know our right to die and infect (kill) others. Why isn't Ms. Ingraham out there with them.",12,"[59, 15, 28, 39, 40, 98, 11, 73, 26, 6, 63, 81]",False
95,i love coaching however if one official or admin address me about our players not wearing a mask or wearing it properly under a helmet i will resign and not coach until this nonsense stops,17,"[62, 86, 52, 41, 99, 40, 94, 58, 6, 36, 63, 4, 18, 82, 1, 69, 97]",False
96,oh you dont like wearing your mask maroon has been having a hard time breathing since but no one wants to talk about that,14,"[78, 91, 7, 5, 40, 82, 30, 62, 88, 85, 42, 83, 41, 25]",False
97,i m going to say this about twitchcon and masks you can hate me if the state town doesn t have an mandates you can t get mad that an event doesn t not sure if sd has any mandates as a vaccinated person with boosters i will not go anywhere that requires me to wear a mask,1,[39],False
98,putting on a mask to walk ten feet through a restaraunt and then taking it off when i get to my table is one of the dumbest things things i ve ever done in my entire life and i ve done a lot of dumb things,14,"[8, 45, 3, 24, 46, 95, 10, 21, 14, 6, 49, 100, 31, 92]",False
99,I lose a mask at least four times a day. This whole thing is a scam.,16,"[34, 82, 75, 87, 13, 94, 88, 21, 36, 2, 3, 24, 32, 93, 47, 17]",False
100,"Little blue ones are totally useless.Even the best don't work very well.Exhale smoke while wearing a mask,any mask and you will see the leakage. It's frightening how dumb they think all of is are.",14,"[90, 95, 35, 52, 53, 54, 6, 32, 24, 28, 88, 83, 19, 42]",False
